Date	Price
1/13/14	"1,248.00"
6/28/17	"1,248.00"
2/23/17	"1,247.90"
11/26/13	"1,247.50"
6/6/14	"1,247.50"
3/23/17	"1,247.50"
3/24/17	"1,247.50"
4/27/16	"1,247.40"
6/2/14	"1,247.30"
4/3/17	"1,247.30"
12/11/17	"1,247.20"
3/9/16	"1,246.40"
11/22/13	"1,246.30"
1/6/14	"1,246.30"
5/19/16	"1,246.30"
5/23/16	"1,245.90"
4/13/16	"1,245.80"
4/5/17	"1,245.80"
11/28/13	"1,245.50"
6/4/14	"1,245.30"
6/26/17	"1,245.30"
11/27/13	"1,245.00"
3/21/16	"1,244.90"
3/31/17	"1,244.90"
10/20/14	"1,244.50"
1/10/14	"1,244.30"
6/6/16	"1,244.00"
10/22/14	"1,243.80"
6/29/17	"1,243.50"
4/22/16	"1,243.30"
11/25/13	"1,243.00"
7/1/13	"1,242.80"
6/3/14	"1,242.80"
3/14/16	"1,242.80"
12/13/17	"1,242.70"
1/30/14	"1,242.50"
6/21/17	"1,242.50"
6/30/17	"1,242.30"
6/20/17	"1,242.20"
7/19/17	"1,242.20"
4/7/16	"1,242.10"
2/8/17	"1,242.10"
2/17/17	"1,242.00"
4/26/16	"1,241.70"
3/21/17	"1,241.60"
1/16/14	"1,241.50"
9/11/14	"1,241.30"
1/22/14	"1,241.00"
2/6/15	"1,241.00"
2/11/16	"1,241.00"
6/7/16	"1,241.00"
12/12/17	"1,240.90"
7/18/17	"1,240.80"
2/16/17	"1,240.60"
6/3/16	"1,240.50"
3/1/17	"1,240.40"
11/21/13	"1,240.00"
2/12/16	"1,239.80"
4/8/16	"1,239.50"
3/2/16	"1,239.20"
4/25/16	"1,238.90"
7/20/17	"1,238.70"
2/9/15	"1,238.50"
3/2/17	"1,238.10"
1/21/14	"1,238.00"
10/16/14	"1,237.80"
10/15/14	"1,237.50"
2/20/17	"1,237.30"
12/9/13	"1,237.00"
3/31/16	"1,237.00"
5/24/16	"1,236.90"
2/9/17	"1,236.80"
2/22/17	"1,236.70"
3/1/16	"1,236.50"
11/11/16	"1,236.50"
6/26/13	"1,236.30"
3/30/16	"1,236.30"
1/15/14	"1,236.00"
9/17/14	"1,236.00"
2/25/16	"1,236.00"
7/8/13	"1,235.30"
1/14/15	"1,235.00"
2/29/16	"1,234.90"
12/16/13	"1,234.80"
10/14/14	"1,234.80"
1/3/14	"1,234.50"
2/10/15	"1,234.50"
9/15/14	"1,234.30"
10/17/14	"1,234.30"
4/18/16	"1,234.30"
5/16/17	"1,234.20"
7/17/17	"1,234.10"
4/14/16	"1,233.90"
5/15/17	"1,233.30"
2/21/17	"1,233.20"
12/6/13	"1,233.00"
6/27/13	"1,232.80"
10/23/14	"1,232.80"
10/24/14	"1,232.80"
2/13/15	"1,232.50"
3/20/17	"1,232.40"
9/16/14	"1,232.30"
12/13/13	"1,232.00"
3/15/16	"1,232.00"
12/17/13	"1,231.80"
9/12/14	"1,231.50"
1/13/15	"1,231.50"
4/5/16	"1,231.30"
5/12/17	"1,231.30"
2/19/16	"1,231.20"
2/7/17	"1,231.00"
3/6/17	"1,231.00"
2/14/17	"1,230.80"
12/18/13	"1,230.50"
7/14/17	"1,230.30"
5/8/17	"1,229.80"
3/17/17	"1,229.60"
12/2/13	"1,229.50"
3/16/17	"1,229.40"
10/28/14	"1,229.30"
2/16/15	"1,229.30"
7/3/17	"1,229.30"
11/16/16	"1,229.20"
10/13/14	"1,229.00"
12/10/14	"1,229.00"
10/27/14	"1,228.80"
3/16/16	"1,228.50"
5/4/17	"1,228.50"
2/10/17	"1,228.30"
5/5/17	"1,228.10"
12/4/13	"1,227.50"
1/7/14	"1,227.50"
4/15/16	"1,227.10"
12/9/14	"1,227.00"
11/15/16	"1,227.00"
10/9/14	"1,226.80"
11/17/16	"1,226.80"
2/6/17	"1,226.80"
1/12/15	"1,226.50"
2/26/16	"1,226.50"
3/3/17	"1,226.50"
1/9/14	"1,226.00"
3/29/16	"1,226.00"
12/12/13	"1,225.30"
1/2/14	"1,225.00"
5/14/15	"1,225.00"
7/6/17	"1,224.90"
2/15/17	"1,224.40"
5/26/16	"1,223.90"
2/11/15	"1,223.80"
7/4/17	"1,223.80"
10/29/14	"1,223.50"
5/18/15	"1,223.50"
5/11/17	"1,223.20"
5/10/17	"1,223.00"
12/5/13	"1,222.50"
2/12/15	"1,222.50"
2/13/17	"1,222.30"
9/23/14	"1,222.00"
2/2/17	"1,222.00"
2/23/16	"1,221.40"
4/6/16	"1,221.40"
1/8/14	"1,221.00"
3/24/16	"1,221.00"
3/25/16	"1,221.00"
3/28/16	"1,221.00"
5/25/16	"1,220.60"
9/18/14	"1,220.50"
5/15/15	"1,220.50"
5/9/17	"1,220.40"
7/5/17	"1,220.30"
9/19/14	"1,219.80"
4/4/16	"1,219.80"
9/29/14	"1,219.50"
10/10/14	"1,219.00"
7/13/17	"1,218.90"
7/12/17	"1,218.80"
1/9/15	"1,217.80"
3/23/16	"1,217.60"
12/3/13	"1,217.30"
9/24/14	"1,217.30"
10/8/14	"1,217.00"
12/12/14	"1,217.00"
1/24/17	"1,216.80"
3/7/17	"1,216.70"
9/30/14	"1,216.50"
10/1/14	"1,216.50"
12/11/14	"1,216.30"
5/27/16	"1,216.30"
5/30/16	"1,216.30"
1/17/17	"1,216.10"
7/7/17	"1,215.70"
1/8/15	"1,215.50"
2/3/17	"1,215.20"
1/18/17	"1,214.80"
12/27/13	"1,214.50"
6/1/16	"1,214.50"
5/19/15	"1,214.30"
11/21/16	"1,214.30"
2/27/15	"1,214.00"
9/25/14	"1,213.80"
9/26/14	"1,213.80"
4/1/16	"1,213.60"
11/14/16	"1,213.60"
9/22/14	"1,213.50"
1/23/17	"1,212.90"
7/5/13	"1,212.80"
3/3/15	"1,212.80"
1/31/17	"1,212.80"
3/2/15	"1,212.50"
6/2/16	"1,212.40"
11/22/16	"1,212.30"
5/31/16	"1,212.10"
7/10/17	"1,211.90"
10/2/14	"1,211.80"
7/11/17	"1,211.10"
4/7/15	"1,211.00"
2/22/16	"1,211.00"
11/18/16	"1,211.00"
10/7/14	"1,210.50"
1/7/15	"1,210.50"
5/13/15	"1,210.50"
5/20/15	"1,210.50"
1/6/15	"1,210.30"
2/18/16	"1,210.10"
2/17/16	"1,210.00"
2/17/15	"1,209.50"
2/19/15	"1,209.50"
2/16/16	"1,209.50"
12/15/14	"1,209.30"
3/8/17	"1,209.20"
12/4/14	"1,209.00"
4/28/15	"1,209.00"
4/29/15	"1,209.00"
2/20/15	"1,208.30"
2/26/15	"1,208.30"
2/15/16	"1,208.20"
4/10/15	"1,207.40"
4/8/15	"1,207.30"
3/9/17	"1,206.60"
12/30/14	"1,206.00"
12/31/14	"1,206.00"
1/1/15	"1,206.00"
2/18/15	"1,206.00"
1/12/17	"1,205.10"
5/21/15	"1,205.00"
12/3/14	"1,204.80"
2/25/15	"1,204.80"
3/14/17	"1,204.60"
12/30/13	"1,204.50"
12/31/13	"1,204.50"
1/1/14	"1,204.50"
2/23/15	"1,204.50"
4/16/15	"1,204.40"
3/13/17	"1,204.20"
5/22/15	"1,204.10"
5/25/15	"1,204.10"
11/21/14	"1,203.80"
2/1/17	"1,203.70"
4/17/15	"1,203.40"
6/19/15	"1,203.40"
3/26/15	"1,203.20"
1/16/17	"1,203.00"
3/10/17	"1,202.70"
12/16/14	"1,202.50"
10/30/14	"1,202.00"
3/5/15	"1,202.00"
6/18/15	"1,201.90"
1/20/17	"1,200.60"
1/5/15	"1,200.00"
4/27/15	"1,200.00"
6/1/15	"1,199.90"
3/4/15	"1,199.50"
12/23/13	"1,199.00"
12/24/13	"1,199.00"
12/25/13	"1,199.00"
12/26/13	"1,199.00"
11/25/14	"1,199.00"
12/18/14	"1,199.00"
4/13/15	"1,198.90"
3/15/17	"1,198.80"
4/2/15	"1,198.50"
4/3/15	"1,198.50"
